d_index,Model,ACA,AOA_tau,F1,Composite
55.0,Gemma,1.0,1.0,1.0,1.0
58.0,Phi,1.0,1.0,1.0,1.0
58.0,Mistral,1.0,1.0,1.0,1.0
58.0,LLaMA,1.0,1.0,1.0,1.0
58.0,Gemma,1.0,1.0,1.0,1.0
59.0,Phi,1.0,1.0,1.0,1.0
59.0,Mistral,1.0,1.0,1.0,1.0
59.0,LLaMA,1.0,1.0,1.0,1.0
59.0,Gemma,1.0,1.0,1.0,1.0
61.0,Phi,1.0,1.0,1.0,1.0
61.0,Mistral,1.0,1.0,1.0,1.0
61.0,LLaMA,1.0,1.0,1.0,1.0
61.0,Gemma,1.0,1.0,1.0,1.0
64.0,Phi,1.0,1.0,1.0,1.0
64.0,Mistral,1.0,1.0,1.0,1.0
64.0,LLaMA,1.0,1.0,1.0,1.0
64.0,Gemma,1.0,1.0,1.0,1.0
66.0,Phi,1.0,1.0,1.0,1.0
66.0,Mistral,0.0,,,0.0
66.0,LLaMA,0.0,,0.0,0.0
66.0,Gemma,0.0,,,0.0
69.0,Phi,1.0,1.0,1.0,1.0
69.0,Mistral,1.0,1.0,1.0,1.0
69.0,LLaMA,1.0,1.0,1.0,1.0
69.0,Gemma,1.0,1.0,1.0,1.0
70.0,Phi,1.0,1.0,1.0,1.0
70.0,Mistral,1.0,1.0,1.0,1.0
70.0,LLaMA,1.0,1.0,1.0,1.0
70.0,Gemma,1.0,1.0,1.0,1.0
71.0,Phi,1.0,1.0,1.0,1.0
71.0,Mistral,0.9285714285714286,1.0,0.962962962962963,0.9634920634920636
71.0,LLaMA,0.3571428571428571,0.6,0.0,0.19142857142857142
71.0,Gemma,1.0,1.0,1.0,1.0
75.0,Phi,1.0,1.0,1.0,1.0
75.0,Mistral,0.9375,0.3333333333333333,0.9333333333333332,0.8141666666666666
75.0,LLaMA,1.0,1.0,1.0,1.0
75.0,Gemma,1.0,1.0,1.0,1.0
77.0,Phi,1.0,1.0,1.0,1.0
77.0,Mistral,1.0,1.0,1.0,1.0
77.0,LLaMA,1.0,1.0,1.0,1.0
77.0,Gemma,1.0,1.0,1.0,1.0
79.0,Phi,1.0,1.0,1.0,1.0
79.0,Mistral,1.0,1.0,1.0,1.0
79.0,LLaMA,1.0,1.0,1.0,1.0
79.0,Gemma,1.0,1.0,1.0,1.0
80.0,Phi,1.0,1.0,1.0,1.0
80.0,Mistral,1.0,1.0,1.0,1.0
80.0,LLaMA,1.0,1.0,1.0,1.0
80.0,Gemma,0.0,,0.0,0.0
83.0,Phi,1.0,1.0,1.0,1.0
83.0,Mistral,1.0,1.0,1.0,1.0
83.0,LLaMA,0.75,0.0,0.0,0.15000000000000002
83.0,Gemma,1.0,1.0,1.0,1.0
84.0,Phi,1.0,0.3333333333333333,1.0,0.8666666666666667
84.0,Mistral,0.8333333333333334,0.4,0.9090909090909092,0.7921212121212122
84.0,LLaMA,0.1666666666666666,0.0,0.0,0.03333333333333332
84.0,Gemma,0.0,,0.0,0.0
85.0,Phi,1.0,1.0,1.0,1.0
85.0,Mistral,1.0,1.0,1.0,1.0
85.0,LLaMA,1.0,1.0,1.0,1.0
85.0,Gemma,1.0,1.0,1.0,1.0
87.0,Phi,0.0,,0.0,0.0
87.0,Mistral,1.0,1.0,1.0,1.0
87.0,LLaMA,0.0,,0.0,0.0
87.0,Gemma,1.0,1.0,1.0,1.0
88.0,Phi,1.0,0.0,1.0,0.8
88.0,Mistral,0.736842105263158,0.0,0.8484848484848484,0.6564593301435406
88.0,LLaMA,0.368421052631579,0.0,0.0,0.0736842105263158
88.0,Gemma,1.0,0.0,1.0,0.8
90.0,Phi,1.0,1.0,1.0,1.0
90.0,Mistral,1.0,1.0,1.0,1.0
90.0,LLaMA,1.0,1.0,0.8,0.88
90.0,Gemma,1.0,1.0,1.0,1.0
92.0,Phi,1.0,1.0,1.0,1.0
92.0,Mistral,1.0,1.0,1.0,1.0
92.0,LLaMA,1.0,1.0,1.0,1.0
92.0,Gemma,1.0,1.0,1.0,1.0
96.0,Phi,0.25,1.0,0.4,0.49
96.0,Mistral,1.0,1.0,1.0,1.0
96.0,LLaMA,1.0,1.0,1.0,1.0
96.0,Gemma,0.25,4.0,0.4,1.09
97.0,Phi,0.7083333333333333,0.0,0.8292682926829268,0.6392276422764227
97.0,Mistral,0.2916666666666666,0.0,0.08,0.10633333333333332
97.0,LLaMA,1.0,0.0,1.0,0.8
97.0,Gemma,0.8333333333333334,0.0,0.9090909090909092,0.7121212121212122
