d_index,Model,ACA,AOA_tau,F1,Composite
38.0,Gemma,1.0,1.0,1.0,1.0
41.0,Phi,1.0,1.0,1.0,1.0
41.0,Mistral,1.0,1.0,1.0,1.0
41.0,LLaMA,1.0,1.0,1.0,1.0
41.0,Gemma,1.0,1.0,1.0,1.0
43.0,Phi,1.0,1.0,1.0,1.0
43.0,Mistral,1.0,1.0,1.0,1.0
43.0,LLaMA,1.0,1.0,1.0,1.0
43.0,Gemma,1.0,1.0,1.0,1.0
44.0,Phi,1.0,0.25,1.0,0.85
44.0,Mistral,1.0,0.0,1.0,0.8
44.0,LLaMA,0.0,,0.0,0.0
44.0,Gemma,1.0,0.0,1.0,0.8
47.0,Phi,1.0,0.3333333333333333,1.0,0.8666666666666667
47.0,Mistral,1.0,0.3333333333333333,1.0,0.8666666666666667
47.0,LLaMA,1.0,1.0,1.0,1.0
47.0,Gemma,1.0,0.3333333333333333,1.0,0.8666666666666667
50.0,Phi,1.0,1.0,1.0,1.0
50.0,Mistral,1.0,1.0,1.0,1.0
50.0,LLaMA,0.0,,0.0,0.0
50.0,Gemma,0.0,,0.0,0.0
53.0,Phi,1.0,1.0,1.0,1.0
53.0,Mistral,1.0,1.0,1.0,1.0
53.0,LLaMA,1.0,1.0,1.0,1.0
53.0,Gemma,1.0,1.0,1.0,1.0
56.0,Phi,1.0,1.0,1.0,1.0
56.0,Mistral,1.0,1.0,1.0,1.0
56.0,LLaMA,1.0,1.0,1.0,1.0
56.0,Gemma,1.0,1.0,1.0,1.0
57.0,Phi,1.0,1.0,1.0,1.0
57.0,Mistral,1.0,1.0,1.0,1.0
57.0,LLaMA,1.0,1.0,1.0,1.0
57.0,Gemma,0.0,,0.0,0.0
60.0,Phi,1.0,1.0,1.0,1.0
60.0,Mistral,1.0,1.0,1.0,1.0
60.0,LLaMA,1.0,1.0,1.0,1.0
60.0,Gemma,1.0,1.0,1.0,1.0
62.0,Phi,1.0,1.0,1.0,1.0
62.0,Mistral,1.0,1.0,1.0,1.0
62.0,LLaMA,1.0,1.0,1.0,1.0
62.0,Gemma,1.0,1.0,1.0,1.0
66.0,Phi,1.0,1.0,1.0,1.0
66.0,Mistral,1.0,1.0,1.0,1.0
66.0,LLaMA,0.0,,0.0,0.0
66.0,Gemma,1.0,1.0,1.0,1.0
67.0,Phi,1.0,1.0,1.0,1.0
67.0,Mistral,1.0,1.0,1.0,1.0
67.0,LLaMA,1.0,1.0,1.0,1.0
67.0,Gemma,1.0,1.0,1.0,1.0
68.0,Phi,1.0,0.3333333333333333,1.0,0.8666666666666667
68.0,Mistral,1.0,0.3333333333333333,1.0,0.8666666666666667
68.0,LLaMA,1.0,0.3333333333333333,1.0,0.8666666666666667
68.0,Gemma,1.0,0.3333333333333333,1.0,0.8666666666666667
72.0,Phi,1.0,1.0,1.0,1.0
72.0,Mistral,1.0,1.0,1.0,1.0
72.0,LLaMA,1.0,1.0,1.0,1.0
72.0,Gemma,1.0,1.0,1.0,1.0
73.0,Phi,1.0,1.0,1.0,1.0
73.0,Mistral,1.0,1.0,1.0,1.0
73.0,LLaMA,0.2222222222222222,0.5,0.3636363636363636,0.36262626262626263
73.0,Gemma,1.0,0.0,1.0,0.8
74.0,Phi,1.0,0.4444444444444444,1.0,0.8888888888888888
74.0,Mistral,1.0,0.4444444444444444,1.0,0.8888888888888888
74.0,LLaMA,1.0,0.4444444444444444,1.0,0.8888888888888888
74.0,Gemma,1.0,0.4444444444444444,1.0,0.8888888888888888
76.0,Phi,1.0,1.0,1.0,1.0
76.0,Mistral,1.0,1.0,1.0,1.0
76.0,LLaMA,1.0,1.0,1.0,1.0
76.0,Gemma,1.0,1.0,1.0,1.0
78.0,Phi,1.0,1.0,1.0,1.0
78.0,Mistral,1.0,1.0,1.0,1.0
78.0,LLaMA,1.0,1.0,1.0,1.0
78.0,Gemma,1.0,1.0,1.0,1.0
91.0,Phi,1.0,1.0,1.0,1.0
91.0,Mistral,1.0,1.0,1.0,1.0
91.0,LLaMA,1.0,0.0,0.0,0.2
91.0,Gemma,1.0,0.6666666666666666,1.0,0.9333333333333333
95.0,Phi,1.0,1.0,1.0,1.0
95.0,Mistral,1.0,1.0,1.0,1.0
95.0,LLaMA,1.0,1.0,1.0,1.0
95.0,Gemma,1.0,1.0,1.0,1.0
98.0,Phi,1.0,1.0,1.0,1.0
98.0,Mistral,1.0,1.0,1.0,1.0
98.0,LLaMA,1.0,0.0,0.0,0.2
98.0,Gemma,1.0,1.0,1.0,1.0
